,experiment_name,experiment_description,num_anchors,bearing_kappa,bearing_noise_std_deg_approx,sigma_gnss_m,avg_localization_error_m,std_localization_error_m,n_simulations,solver
31,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,500,2.5623451563018373,3.0,18.2241703186204,12.174526519681178,2000,odr
32,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,200,4.051423422706978,3.0,13.689235956519967,18.922958640874267,2000,odr
33,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,100,5.729577951308233,3.0,23.40317663481364,23.167323683602895,2000,odr
34,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,50,8.102846845413955,3.0,28.924262612798856,23.044485013341784,2000,odr
35,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,20,12.811725781509187,3.0,50.397446322560754,32.30911947191151,2000,odr
36,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,10,18.118516357615334,3.0,75.9688114202048,29.679334712950453,2000,odr
37,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,5,25.623451563018374,3.0,79.56701485459232,26.707842937706975,2000,odr
38,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,2,40.51423422706978,3.0,81.21364085169665,28.255014797111027,2000,odr
39,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",8,1,57.29577951308232,3.0,85.80903302307662,31.050676956993737,2000,odr
40,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,1000,1.8118516357615333,3.0,17.072926097288327,23.0335324279971,2000,odr
41,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,500,2.5623451563018373,3.0,39.56098092070032,18.1393073967746,2000,odr
42,BearingNoise_VaryAnchors,"Fixed Anchor Noise, Varying Bearing Noise & Number of Anchors",9,200,4.051423422706978,3.0,52.372252558407375,14.441394458939625,2000,odr
